,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,21.0,4.0,0.0,0.0,0.84,0.0,0.0,0.0,0.14500000000000002
1,0.0,0.0,24.0,4.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.27142857142857146
2,0.0,0.0,18.0,2.0,0.0,0.0,0.9,0.0,0.0,0.0,0.060714285714285714
3,0.0,0.0,26.0,5.0,0.0,0.0,0.8387096774193549,0.0,0.0,0.0,0.0929883512544803
4,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
5,0.0,0.0,17.0,6.0,0.0,0.0,0.7391304347826086,0.0,0.0,0.0,0.2438750862663906
6,0.0,0.0,20.0,5.0,0.0,0.0,0.8,0.0,0.0,0.0,0.19230769230769232
7,0.0,0.0,16.0,6.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.18076599326599327
8,0.0,0.0,20.0,8.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.2881944444444444
9,0.0,0.0,24.0,5.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.3652017128690557
10,0.0,0.0,208.0,45.0,-1.0,0.0,0.8221343873517787,0.0,0.0,-1.0,0.23404761375509137
