,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,17.0,4.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.14479638009049772
1,0.0,0.0,18.0,5.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,0.16964285714285715
2,0.0,0.0,16.0,3.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0,0.09375
3,0.0,0.0,16.0,2.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.07692307692307693
4,0.0,0.0,24.0,3.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.06662210338680928
5,0.0,0.0,12.0,2.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.08012820512820512
6,0.0,0.0,10.0,3.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.15000000000000002
7,0.0,0.0,11.0,1.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.1
8,0.0,0.0,13.0,2.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.09090909090909091
9,0.0,0.0,19.0,3.0,0.0,0.0,0.8636363636363636,0.0,0.0,0.0,0.08100275197798419
10,0.0,0.0,156.0,28.0,-1.0,0.0,0.8478260869565217,0.0,0.0,-1.0,0.10537744655585213
