,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,28.0,153.0,4.0,0.0,0.0,0.827027027027027,0.15135135135135136,0.0,-0.06277979564570768,0.02499986617091502
1,0.0,17.0,156.0,2.0,0.0,0.0,0.8914285714285715,0.09714285714285714,0.0,-0.03526857100423082,0.017378086198784955
2,0.0,26.0,170.0,3.0,0.0,0.0,0.8542713567839196,0.1306532663316583,0.0,-0.04796188176207,0.01706941740460587
3,0.0,19.0,150.0,1.0,0.0,0.0,0.8823529411764706,0.11176470588235295,0.0,-0.027286320409255382,0.00980392156862745
4,0.0,35.0,154.0,2.0,0.0,0.0,0.806282722513089,0.18324607329842932,0.0,-0.048725445517057174,0.007992405683488486
5,0.0,18.0,182.0,4.0,0.0,0.0,0.8921568627450981,0.08823529411764706,0.0,-0.043994134506405984,0.018781374084147477
6,0.0,33.0,147.0,3.0,0.0,0.0,0.8032786885245902,0.18032786885245902,0.0,-0.060553007081949835,0.013891548980238012
7,0.0,20.0,171.0,1.0,0.0,0.0,0.890625,0.10416666666666667,0.0,-0.024673689249700682,0.02
8,1.0,22.0,151.0,2.0,0.043478260869565216,0.3333333333333333,0.8636363636363636,0.13068181818181818,0.07692307692307691,0.07917543631686057,0.026171003910729938
9,0.0,16.0,167.0,2.0,0.0,0.0,0.9027027027027027,0.08648648648648649,0.0,-0.0321666691378041,0.012205029013539651
10,1.0,234.0,1601.0,24.0,0.00425531914893617,0.04,0.8612903225806452,0.12640563883117265,0.007692307692307693,-0.03033450393083544,0.016829265301507686
