,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,9.0,5.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.6736263736263737
1,1.0,0.0,9.0,3.0,1.0,0.25,0.7692307692307693,0.07692307692307693,0.4,0.4330127018922193,0.6486742424242424
2,0.0,0.0,7.0,6.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.41040163540163543
3,0.0,0.0,9.0,4.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.3802083333333333
4,0.0,0.0,9.0,5.0,0.0,0.0,0.6428571428571429,0.0,0.0,0.0,0.675128205128205
5,0.0,0.0,12.0,5.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.7211904761904762
6,0.0,0.0,10.0,2.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.18154761904761904
7,3.0,0.0,8.0,4.0,1.0,0.42857142857142855,0.7333333333333333,0.2,0.6,0.5345224838248488,0.9092098377812663
8,0.0,0.0,9.0,4.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0,0.718371212121212
9,0.0,0.0,9.0,1.0,0.0,0.0,0.9,0.0,0.0,0.0,0.25
10,4.0,0.0,91.0,39.0,1.0,0.09302325581395349,0.7089552238805971,0.027692307692307693,0.1702127659574468,0.2551789158017712,0.5568357935054363
