,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,29.0,1301.0,40.0,0.0,0.02180451127819549,1.0,0.050364963503649635,0.9708029197080292,0.042678440029433405,0.02550285403349409,0.015686817408716795
1,15.0,1219.0,99.0,0.0,0.012155591572123177,1.0,0.08552138034508627,0.9257314328582146,0.02401921537229784,0.030216763248470346,0.00781329734851397
2,16.0,1304.0,36.0,0.0,0.012121212121212121,1.0,0.038348082595870206,0.9734513274336283,0.02395209580838323,0.018045622869521084,0.008057589367845865
3,14.0,1289.0,73.0,0.0,0.010744435917114352,1.0,0.06322674418604651,0.9469476744186046,0.021260440394836752,0.02399742738826451,0.0067136438405937015
4,18.0,1320.0,88.0,2.0,0.013452914798206279,0.9,0.0742296918767507,0.9369747899159664,0.026509572901325478,-0.018134195002828164,0.18464789800020967
5,17.0,1303.0,66.0,0.0,0.012878787878787878,1.0,0.05988455988455989,0.9523809523809523,0.025430067314884067,0.02491768772241321,0.00862781231413269
6,22.0,1218.0,78.0,0.0,0.017741935483870968,1.0,0.07587253414264036,0.9408194233687405,0.03486529318541997,0.032677234776528785,0.013726080546796176
7,15.0,1258.0,89.0,0.0,0.01178318931657502,1.0,0.0763582966226138,0.9346549192364171,0.023291925465838508,0.027902468926891875,0.007970697813065364
8,17.0,1255.0,99.0,2.0,0.013364779874213837,0.8947368421052632,0.08448652585579024,0.9264384559359068,0.026336173508907827,-0.014385174495601113,0.07558299076295258
9,9.0,1319.0,31.0,1.0,0.00677710843373494,0.9,0.029411764705882353,0.9764705882352941,0.013452914798206279,-0.04342026086971096,0.004564268243936376
10,172.0,12786.0,699.0,5.0,0.013273653341565056,0.9717514124293786,0.06375347679695506,0.9484672483491753,0.02618956985154168,0.012064950398057049,0.033339109564676325
