,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,259.0,3.0,0.0,0.0,0.9885496183206107,0.0,0.0,0.0,0.05475931056349467
1,0.0,0.0,267.0,1.0,0.0,0.0,0.996268656716418,0.0,0.0,0.0,0.0020920502092050207
2,0.0,0.0,243.0,3.0,0.0,0.0,0.9878048780487805,0.0,0.0,0.0,0.00940050010806571
3,0.0,0.0,269.0,1.0,0.0,0.0,0.9962962962962963,0.0,0.0,0.0,0.0026041666666666665
4,0.0,0.0,285.0,3.0,0.0,0.0,0.9895833333333334,0.0,0.0,0.0,0.012184963236856645
5,0.0,0.0,286.0,4.0,0.0,0.0,0.9862068965517241,0.0,0.0,0.0,0.02441269789586322
6,0.0,0.0,277.0,2.0,0.0,0.0,0.992831541218638,0.0,0.0,0.0,0.028954330270119746
7,0.0,0.0,242.0,1.0,0.0,0.0,0.9958847736625515,0.0,0.0,0.0,0.0027472527472527475
8,0.0,0.0,286.0,3.0,0.0,0.0,0.9896193771626297,0.0,0.0,0.0,0.08967495933189151
9,0.0,0.0,272.0,4.0,0.0,0.0,0.9855072463768116,0.0,0.0,0.0,0.012646926662468298
10,0.0,0.0,2686.0,25.0,-1.0,0.0,0.9907783105864995,0.0,0.0,-1.0,0.023947715769188426
