,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,106.0,9.0,0.0,0.0,0.9217391304347826,0.0,0.0,0.0,0.0761719951509888
1,0.0,0.0,85.0,11.0,0.0,0.0,0.8854166666666666,0.0,0.0,0.0,0.5828437060906573
2,0.0,0.0,92.0,5.0,0.0,0.0,0.9484536082474226,0.0,0.0,0.0,0.040129245028690544
3,0.0,0.0,106.0,9.0,0.0,0.0,0.9217391304347826,0.0,0.0,0.0,0.3352942227942228
4,0.0,0.0,96.0,9.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.0,0.11894869715529471
5,0.0,0.0,101.0,7.0,0.0,0.0,0.9351851851851852,0.0,0.0,0.0,0.20923399322275726
6,0.0,0.0,96.0,9.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.0,0.24824650657983993
7,0.0,0.0,82.0,7.0,0.0,0.0,0.9213483146067416,0.0,0.0,0.0,0.14659542113711244
8,0.0,0.0,103.0,14.0,0.0,0.0,0.8803418803418803,0.0,0.0,0.0,0.2658155515836239
9,0.0,0.0,85.0,10.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.8128699199351374
10,0.0,0.0,952.0,90.0,-1.0,0.0,0.9136276391554703,0.0,0.0,-1.0,0.28361492586783255
