,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,251.0,1.0,0.0,0.0,0.996031746031746,0.0,0.0,0.0,0.006756756756756757
1,0.0,0.0,247.0,3.0,0.0,0.0,0.988,0.0,0.0,0.0,0.017425925925925925
2,0.0,0.0,231.0,1.0,0.0,0.0,0.9956896551724138,0.0,0.0,0.0,0.02631578947368421
3,0.0,0.0,234.0,4.0,0.0,0.0,0.9831932773109243,0.0,0.0,0.0,0.009899643310561633
4,0.0,0.0,221.0,2.0,0.0,0.0,0.9910313901345291,0.0,0.0,0.0,0.013888888888888888
5,0.0,0.0,252.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
6,0.0,0.0,250.0,3.0,0.0,0.0,0.9881422924901185,0.0,0.0,0.0,0.013471334265920176
7,0.0,0.0,270.0,2.0,0.0,0.0,0.9926470588235294,0.0,0.0,0.0,0.01774904974864319
8,0.0,0.0,239.0,3.0,0.0,0.0,0.987603305785124,0.0,0.0,0.0,0.018314489654326034
9,0.0,0.0,261.0,5.0,0.0,0.0,0.981203007518797,0.0,0.0,0.0,0.013833517818058041
10,0.0,0.0,2456.0,24.0,-1.0,0.0,0.9903225806451613,0.0,0.0,-1.0,0.06376553958427648
