,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,50.0,2.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.0,0.021458333333333336
1,1.0,4.0,47.0,2.0,0.2,0.3333333333333333,0.8888888888888888,0.09259259259259259,0.25,0.2014354251173236,0.40541378699273434
2,0.0,1.0,41.0,5.0,0.0,0.0,0.8723404255319149,0.02127659574468085,0.0,-0.05087230797227998,0.08082905319318362
3,0.0,5.0,40.0,3.0,0.0,0.0,0.8333333333333334,0.10416666666666667,0.0,-0.08804509063256237,0.04206614455505967
4,0.0,4.0,42.0,3.0,0.0,0.0,0.8571428571428571,0.08163265306122448,0.0,-0.0761386987626881,0.04457711804304465
5,0.0,1.0,33.0,1.0,0.0,0.0,0.9428571428571428,0.02857142857142857,0.0,-0.029411764705882353,0.027777777777777776
6,1.0,2.0,38.0,4.0,0.3333333333333333,0.2,0.8666666666666667,0.06666666666666667,0.25,0.18898223650461363,0.17381294471811715
7,0.0,2.0,40.0,4.0,0.0,0.0,0.8695652173913043,0.043478260869565216,0.0,-0.0657951694959769,0.07081867842361958
8,0.0,1.0,38.0,4.0,0.0,0.0,0.8837209302325582,0.023255813953488372,0.0,-0.049416621110740085,0.07532967032967033
9,0.0,1.0,35.0,5.0,0.0,0.0,0.8536585365853658,0.024390243902439025,0.0,-0.05892556509887896,0.08944089304529862
10,2.0,21.0,404.0,33.0,0.08695652173913043,0.05714285714285714,0.8826086956521739,0.048603092202875245,0.06896551724137931,0.009405128133399419,0.10315244004118392
