,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,109.0,3.0,0.0,0.0,0.9732142857142857,0.0,0.0,0.0,0.01895703933747412
1,0.0,0.0,109.0,3.0,0.0,0.0,0.9732142857142857,0.0,0.0,0.0,0.02277327935222672
2,0.0,0.0,122.0,2.0,0.0,0.0,0.9838709677419355,0.0,0.0,0.0,0.008064516129032258
3,0.0,0.0,101.0,3.0,0.0,0.0,0.9711538461538461,0.0,0.0,0.0,0.024502972872538088
4,0.0,0.0,108.0,2.0,0.0,0.0,0.9818181818181818,0.0,0.0,0.0,0.01282051282051282
5,0.0,0.0,97.0,2.0,0.0,0.0,0.9797979797979798,0.0,0.0,0.0,0.017115181667420473
6,0.0,0.0,110.0,2.0,0.0,0.0,0.9821428571428571,0.0,0.0,0.0,0.008928571428571428
7,0.0,0.0,97.0,3.0,0.0,0.0,0.97,0.0,0.0,0.0,0.02696731895189118
8,0.0,0.0,108.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
9,0.0,0.0,107.0,4.0,0.0,0.0,0.963963963963964,0.0,0.0,0.0,0.03127555226613302
10,0.0,0.0,1068.0,24.0,-1.0,0.0,0.978021978021978,0.0,0.0,-1.0,0.06714049448258
