,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,12.0,247.0,3.0,0.0,0.0,0.9427480916030534,0.04580152671755725,0.0,-0.02357932475675578,0.013619922490258628
1,0.0,29.0,238.0,1.0,0.0,0.0,0.8880597014925373,0.10820895522388059,0.0,-0.02131789985983726,0.0036496350364963502
2,0.0,0.0,243.0,3.0,0.0,0.0,0.9878048780487805,0.0,0.0,0.0,0.02142857142857143
3,0.0,4.0,265.0,1.0,0.0,0.0,0.9814814814814815,0.014814814814814815,0.0,-0.0074767530636851275,0.004132231404958678
4,0.0,9.0,276.0,3.0,0.0,0.0,0.9583333333333334,0.03125,0.0,-0.01842711517991869,0.01327433628318584
5,1.0,92.0,194.0,3.0,0.010752688172043012,0.25,0.6724137931034483,0.32068965517241377,0.02061855670103093,-0.017911264728108483,0.013857323232323231
6,1.0,82.0,195.0,1.0,0.012048192771084338,0.5,0.7025089605734767,0.2974910394265233,0.023529411764705882,0.037640594945933206,0.26172323601500047
7,0.0,0.0,242.0,1.0,0.0,0.0,0.9958847736625515,0.0,0.0,0.0,0.006329113924050633
8,0.0,0.0,286.0,3.0,0.0,0.0,0.9896193771626297,0.0,0.0,0.0,0.01351336960004957
9,0.0,9.0,263.0,4.0,0.0,0.0,0.9528985507246377,0.03260869565217391,0.0,-0.022264408807272273,0.014290723659804192
10,2.0,237.0,2449.0,23.0,0.008368200836820083,0.08,0.9040944300995942,0.08508646870073636,0.01515151515151515,-0.002776380203758148,0.0365818463074699
