,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,283.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
1,0.0,2.0,265.0,3.0,0.0,0.0,0.9814814814814815,0.007407407407407408,0.0,-0.009156986997206736,0.01356646615267305
2,0.0,3.0,247.0,3.0,0.0,0.0,0.9762845849802372,0.011857707509881422,0.0,-0.012,0.01282580278488207
3,0.0,2.0,268.0,1.0,0.0,0.0,0.988929889298893,0.007380073800738007,0.0,-0.005247554717276248,0.003289473684210526
4,0.0,0.0,241.0,1.0,0.0,0.0,0.9958677685950413,0.0,0.0,0.0,0.006329113924050633
5,0.0,26.0,235.0,5.0,0.0,0.0,0.8834586466165414,0.09774436090225563,0.0,-0.04555602279921117,0.01679530680196607
6,0.0,90.0,132.0,1.0,0.0,0.0,0.5919282511210763,0.40358744394618834,0.0,-0.055210152534636105,0.003703703703703704
7,0.0,1.0,235.0,5.0,0.0,0.0,0.975103734439834,0.004149377593360996,0.0,-0.00939557535003536,0.023974320104121396
8,0.0,0.0,262.0,1.0,0.0,0.0,0.9961977186311787,0.0,0.0,0.0,0.012195121951219513
9,0.0,2.0,235.0,2.0,0.0,0.0,0.9832635983263598,0.008368200836820083,0.0,-0.008438818565400843,0.011363636363636364
10,0.0,126.0,2403.0,22.0,0.0,0.0,-1.0,0.05404945719966518,-1.0,-0.02126015012169427,0.060404294547046336
