,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,195.0,1.0,0.0,0.0,0.9948979591836735,0.0,0.0,0.0,0.0035211267605633804
1,0.0,0.0,188.0,1.0,0.0,0.0,0.9947089947089947,0.0,0.0,0.0,0.0035714285714285713
2,0.0,4.0,217.0,4.0,0.0,0.0,0.9644444444444444,0.017777777777777778,0.0,-0.01809954751131222,0.011506023144580758
3,0.0,15.0,179.0,3.0,0.0,0.0,0.9086294416243654,0.07614213197969544,0.0,-0.03570012180902342,0.009576420059443947
4,0.0,0.0,216.0,4.0,0.0,0.0,0.9818181818181818,0.0,0.0,0.0,0.011284789068993245
5,0.0,123.0,92.0,4.0,0.0,0.0,0.4200913242009132,0.5616438356164384,0.0,-0.15439303514836925,0.010481086220513464
6,1.0,150.0,67.0,1.0,0.006622516556291391,0.5,0.3105022831050228,0.6894977168949772,0.0130718954248366,-0.03931789853797174,0.257432455998849
7,0.0,3.0,194.0,4.0,0.0,0.0,0.9651741293532339,0.014925373134328358,0.0,-0.017539811221781696,0.015426046947388587
8,0.0,0.0,210.0,1.0,0.0,0.0,0.995260663507109,0.0,0.0,0.0,0.0026041666666666665
9,0.0,3.0,221.0,3.0,0.0,0.0,0.973568281938326,0.013215859030837005,0.0,-0.013392857142857142,0.008013210221629447
10,1.0,298.0,1779.0,26.0,0.0033444816053511705,0.037037037037037035,0.8460076045627376,0.13732026944340542,0.006134969325153375,-0.03431051613817994,0.033341675366005706
