,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,5.0,67.0,0.0,0.0,0.06944444444444445,1.0,0.06944444444444445,1.0,0.12987012987012989,0.0,0.0622452865532687
1,5.0,58.0,0.0,0.0,0.07936507936507936,1.0,0.07936507936507936,1.0,0.14705882352941177,0.0,0.06578947368421052
2,2.0,71.0,0.0,0.0,0.0273972602739726,1.0,0.0273972602739726,1.0,0.05333333333333332,0.0,0.2778243542076742
3,4.0,73.0,0.0,0.0,0.05194805194805195,1.0,0.05194805194805195,1.0,0.09876543209876544,0.0,0.58
4,3.0,74.0,0.0,0.0,0.03896103896103896,1.0,0.03896103896103896,1.0,0.07500000000000001,0.0,0.5306122448979592
5,5.0,72.0,0.0,0.0,0.06493506493506493,1.0,0.06493506493506493,1.0,0.12195121951219512,0.0,0.056524929732084464
6,3.0,53.0,0.0,0.0,0.05357142857142857,1.0,0.05357142857142857,1.0,0.10169491525423728,0.0,0.59375
7,10.0,58.0,0.0,0.0,0.14705882352941177,1.0,0.14705882352941177,1.0,0.25641025641025644,0.0,0.17065161447344168
8,1.0,67.0,0.0,0.0,0.014705882352941176,1.0,0.014705882352941176,1.0,0.028985507246376812,0.0,0.016129032258064516
9,1.0,62.0,0.0,0.0,0.015873015873015872,1.0,0.015873015873015872,1.0,0.03125,0.0,0.5217391304347826
10,39.0,655.0,0.0,0.0,0.056195965417867436,1.0,0.056195965417867436,1.0,0.10641200545702592,-1.0,0.2875266066241486
