,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,29.0,1341.0,0.0,0.0,0.021167883211678833,1.0,0.021167883211678833,1.0,0.04145818441744103,0.0,0.0144103097443222
1,15.0,1318.0,0.0,0.0,0.011252813203300824,1.0,0.011252813203300824,1.0,0.02225519287833828,0.0,0.14067741310668166
2,16.0,1340.0,0.0,0.0,0.011799410029498525,1.0,0.011799410029498525,1.0,0.023323615160349854,0.0,0.2575006473516358
3,14.0,1362.0,0.0,0.0,0.010174418604651164,1.0,0.010174418604651164,1.0,0.020143884892086333,0.0,0.22035850381458963
4,20.0,1408.0,0.0,0.0,0.014005602240896359,1.0,0.014005602240896359,1.0,0.027624309392265196,0.0,0.357885781963956
5,17.0,1369.0,0.0,0.0,0.012265512265512266,1.0,0.012265512265512266,1.0,0.024233784746970778,0.0,0.24400700755937793
6,22.0,1296.0,0.0,0.0,0.01669195751138088,1.0,0.01669195751138088,1.0,0.03283582089552239,0.0,0.21661195368257674
7,15.0,1347.0,0.0,0.0,0.011013215859030838,1.0,0.011013215859030838,1.0,0.02178649237472767,0.0,0.3729206302073305
8,19.0,1354.0,0.0,0.0,0.013838310269482883,1.0,0.013838310269482883,1.0,0.027298850574712645,0.0,0.07169354199634471
9,10.0,1350.0,0.0,0.0,0.007352941176470588,1.0,0.007352941176470588,1.0,0.014598540145985401,0.0,0.15443675295951284
10,177.0,13485.0,0.0,0.0,0.012955643390426,1.0,0.012955643390426,1.0,0.02557988293951875,-1.0,0.20505025423863282
