,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,7.0,231.0,0.0,0.0,0.029411764705882353,1.0,0.029411764705882353,1.0,0.05714285714285715,0.0,0.10856533331672671
1,5.0,238.0,6.0,0.0,0.0205761316872428,1.0,0.04417670682730924,0.9759036144578314,0.04032258064516129,0.022493786949414334,0.11241388870456998
2,6.0,244.0,0.0,0.0,0.024,1.0,0.024,1.0,0.046875,0.0,0.014508396550416814
3,2.0,240.0,0.0,0.0,0.008264462809917356,1.0,0.008264462809917356,1.0,0.01639344262295082,0.0,0.005489576640251303
4,8.0,216.0,0.0,0.0,0.03571428571428571,1.0,0.03571428571428571,1.0,0.0689655172413793,0.0,0.08555653449976988
5,6.0,218.0,0.0,0.0,0.026785714285714284,1.0,0.026785714285714284,1.0,0.052173913043478265,0.0,0.09960322392968889
6,1.0,237.0,0.0,0.0,0.004201680672268907,1.0,0.004201680672268907,1.0,0.008368200836820083,0.0,0.0025252525252525255
7,7.0,241.0,0.0,0.0,0.028225806451612902,1.0,0.028225806451612902,1.0,0.05490196078431372,0.0,0.09078990986572082
8,7.0,213.0,0.0,0.0,0.031818181818181815,1.0,0.031818181818181815,1.0,0.06167400881057269,0.0,0.09756537709417609
9,6.0,251.0,0.0,0.0,0.023346303501945526,1.0,0.023346303501945526,1.0,0.045627376425855515,0.0,0.1434208152958153
10,55.0,2329.0,6.0,0.0,0.02307046979865772,1.0,0.025523012552301255,0.9975903614457831,0.04510045100451005,0.00769946239097518,0.07604383084223884
