,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,50.0,0.0,0.0,0.038461538461538464,1.0,0.038461538461538464,1.0,0.07407407407407407,0.0,0.0196078431372549
1,3.0,51.0,0.0,0.0,0.05555555555555555,1.0,0.05555555555555555,1.0,0.10526315789473684,0.0,0.04367386006210892
2,5.0,42.0,0.0,0.0,0.10638297872340426,1.0,0.10638297872340426,1.0,0.1923076923076923,0.0,0.33176769467092043
3,3.0,45.0,0.0,0.0,0.0625,1.0,0.0625,1.0,0.11764705882352941,0.0,0.05125000000000001
4,3.0,46.0,0.0,0.0,0.061224489795918366,1.0,0.061224489795918366,1.0,0.11538461538461538,0.0,0.23844383159076138
5,1.0,34.0,0.0,0.0,0.02857142857142857,1.0,0.02857142857142857,1.0,0.05555555555555556,0.0,0.027777777777777776
6,2.0,25.0,15.0,3.0,0.07407407407407407,0.4,0.37777777777777777,0.6,0.125,-0.14433756729740643,0.08638176638176638
7,1.0,29.0,13.0,3.0,0.03333333333333333,0.25,0.30434782608695654,0.6521739130434783,0.058823529411764705,-0.2605892285412926,0.04627747102058727
8,4.0,39.0,0.0,0.0,0.09302325581395349,1.0,0.09302325581395349,1.0,0.1702127659574468,0.0,0.2046537680728857
9,5.0,36.0,0.0,0.0,0.12195121951219512,1.0,0.12195121951219512,1.0,0.21739130434782605,0.0,0.07676852180077987
10,29.0,397.0,28.0,6.0,0.06807511737089202,0.8285714285714286,0.12391304347826088,0.9252173913043478,0.12581344902386116,-0.10696135774614231,0.11266025345148427
