,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,234.0,0.0,0.0,0.012658227848101266,1.0,0.012658227848101266,1.0,0.024999999999999998,0.0,0.00641025641025641
1,7.0,263.0,0.0,0.0,0.025925925925925925,1.0,0.025925925925925925,1.0,0.05054151624548736,0.0,0.013033352050088452
2,5.0,235.0,0.0,0.0,0.020833333333333332,1.0,0.020833333333333332,1.0,0.04081632653061225,0.0,0.010416666666666666
3,2.0,237.0,0.0,0.0,0.008368200836820083,1.0,0.008368200836820083,1.0,0.016597510373443983,0.0,0.00429815041386678
4,4.0,253.0,0.0,0.0,0.01556420233463035,1.0,0.01556420233463035,1.0,0.030651340996168584,0.0,0.007879601855494361
5,0.0,241.0,6.0,2.0,0.0,0.0,0.024096385542168676,0.9678714859437751,0.0,-0.49388979085021883,0.004016064257028112
6,5.0,222.0,0.0,0.0,0.022026431718061675,1.0,0.022026431718061675,1.0,0.04310344827586207,0.0,0.011013215859030838
7,1.0,225.0,0.0,0.0,0.004424778761061947,1.0,0.004424778761061947,1.0,0.00881057268722467,0.0,0.0022123893805309734
8,5.0,241.0,0.0,0.0,0.02032520325203252,1.0,0.02032520325203252,1.0,0.0398406374501992,0.0,0.010383536740075248
9,7.0,225.0,0.0,0.0,0.03017241379310345,1.0,0.03017241379310345,1.0,0.05857740585774059,0.0,0.015431243842208037
10,39.0,2376.0,6.0,2.0,0.016149068322981366,0.9512195121951219,0.018572018159306643,0.9967871485943774,0.03175895765472313,-0.104011140522917,0.008509447747524587
