,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,36.0,2.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.03183672093571982
1,4.0,16.0,16.0,0.0,0.2,1.0,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.31622776601683794,0.1
2,1.0,13.0,21.0,2.0,0.07142857142857142,0.3333333333333333,0.5945945945945946,0.3783783783783784,0.11764705882352941,-0.027589382646795918,0.08731021394064872
3,0.0,19.0,11.0,2.0,0.0,0.0,0.34375,0.59375,0.0,-0.31214723679042466,0.034482758620689655
4,0.0,24.0,9.0,4.0,0.0,0.0,0.24324324324324326,0.6486486486486487,0.0,-0.47304991679126607,0.05737173862173862
5,0.0,30.0,17.0,5.0,0.0,0.0,0.3269230769230769,0.5769230769230769,0.0,-0.38087753708926914,0.05813953488372093
6,0.0,28.0,14.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5
7,2.0,30.0,10.0,0.0,0.0625,1.0,0.2857142857142857,0.7619047619047619,0.11764705882352941,0.125,0.05093366778149387
8,0.0,7.0,29.0,1.0,0.0,0.0,0.7837837837837838,0.1891891891891892,0.0,-0.08050764858994133,0.016666666666666666
9,0.0,19.0,28.0,1.0,0.0,0.0,0.5833333333333334,0.3958333333333333,0.0,-0.11806709360081083,0.023809523809523808
10,7.0,186.0,191.0,17.0,0.03626943005181347,0.2916666666666667,0.4937655860349127,0.47668496105996094,0.06451612903225806,-0.09575826106665898,0.09605508252602021
