,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,259.0,0.0,0.0,0.011450381679389313,1.0,0.011450381679389313,1.0,0.022641509433962263,0.0,0.1818875611155492
1,1.0,267.0,0.0,0.0,0.0037313432835820895,1.0,0.0037313432835820895,1.0,0.007434944237918215,0.0,0.005555555555555556
2,3.0,243.0,0.0,0.0,0.012195121951219513,1.0,0.012195121951219513,1.0,0.024096385542168676,0.0,0.010416666666666666
3,1.0,269.0,0.0,0.0,0.003703703703703704,1.0,0.003703703703703704,1.0,0.007380073800738007,0.0,0.5073529411764706
4,3.0,285.0,0.0,0.0,0.010416666666666666,1.0,0.010416666666666666,1.0,0.020618556701030927,0.0,0.026785714285714284
5,4.0,286.0,0.0,0.0,0.013793103448275862,1.0,0.013793103448275862,1.0,0.027210884353741496,0.0,0.3886125561708713
6,2.0,277.0,0.0,0.0,0.007168458781362007,1.0,0.007168458781362007,1.0,0.014234875444839857,0.0,0.2645484400656814
7,1.0,242.0,0.0,0.0,0.00411522633744856,1.0,0.00411522633744856,1.0,0.00819672131147541,0.0,0.006666666666666667
8,3.0,286.0,0.0,0.0,0.010380622837370242,1.0,0.010380622837370242,1.0,0.02054794520547945,0.0,0.3477004677469073
9,4.0,272.0,0.0,0.0,0.014492753623188406,1.0,0.014492753623188406,1.0,0.02857142857142857,0.0,0.26677797366317535
10,25.0,2686.0,0.0,0.0,0.009221689413500553,1.0,0.009221689413500553,1.0,0.01827485380116959,-1.0,0.20063045431132584
