,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,811.0,112.0,0.0,0.0012315270935960591,1.0,0.12229437229437229,0.8787878787878788,0.0024600246002460025,0.012224473015282239,0.0006361323155216285
1,4.0,697.0,176.0,0.0,0.005706134094151213,1.0,0.20524515393386544,0.7993158494868872,0.011347517730496455,0.03391721612008165,0.003498013779943365
2,7.0,883.0,35.0,0.0,0.007865168539325843,1.0,0.04540540540540541,0.9621621621621622,0.01560758082497213,0.01731676240565621,0.004598788892795237
3,1.0,803.0,122.0,1.0,0.0012437810945273632,0.5,0.13268608414239483,0.8673139158576052,0.0024813895781637717,-0.05034781962310069,0.0012701707249834315
4,2.0,901.0,29.0,0.0,0.0022148394241417496,1.0,0.033261802575107295,0.9688841201716738,0.004419889502762431,0.008310528579394712,0.001211997676411978
5,1.0,792.0,69.0,0.0,0.0012610340479192938,1.0,0.08120649651972157,0.919953596287703,0.0025188916876574307,0.010052784574823932,0.0007183908045977011
6,3.0,956.0,22.0,0.0,0.0031282586027111575,1.0,0.0254841997961264,0.9775739041794088,0.006237006237006237,0.008388672446749866,0.0022330613036133655
7,1.0,893.0,17.0,0.0,0.0011185682326621924,1.0,0.019758507135016465,0.9813391877058177,0.0022346368715083797,0.004571250334554195,0.0006983240223463687
8,1.0,935.0,21.0,0.0,0.0010683760683760685,1.0,0.022988505747126436,0.9780564263322884,0.0021344717182497333,0.0048444310256454065,0.0006337135614702154
9,1.0,928.0,29.0,0.0,0.001076426264800861,1.0,0.031315240083507306,0.9697286012526096,0.002150537634408602,0.005711302629106447,0.0006024096385542169
10,22.0,8599.0,632.0,1.0,0.002551908131307273,0.9565217391304348,0.07067214177652907,0.9303115642224036,0.005090236001850996,0.00492851879620209,0.001610100272023751
