,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,231.0,20.0,0.0,0.004310344827586207,1.0,0.08333333333333333,0.9206349206349206,0.008583690987124463,0.01853250579717721,0.00641025641025641
1,3.0,211.0,36.0,0.0,0.014018691588785047,1.0,0.156,0.856,0.027649769585253458,0.04520188170979525,0.05190378273656528
2,1.0,153.0,78.0,0.0,0.006493506493506494,1.0,0.34051724137931033,0.6637931034482759,0.012903225806451613,0.04682534123979207,0.0036231884057971015
3,4.0,180.0,54.0,0.0,0.021739130434782608,1.0,0.24369747899159663,0.773109243697479,0.0425531914893617,0.07082882469748285,0.014765355126800911
4,2.0,211.0,10.0,0.0,0.009389671361502348,1.0,0.053811659192825115,0.9551569506726457,0.018604651162790697,0.020612423615572202,0.007348008952926707
5,0.0,239.0,13.0,0.0,0.0,0.0,0.051587301587301584,0.9484126984126984,0.0,0.0,0.5
6,1.0,222.0,28.0,2.0,0.004484304932735426,0.3333333333333333,0.11462450592885376,0.8814229249011858,0.008849557522123894,-0.18571613637059256,0.00644972786669432
7,1.0,256.0,14.0,1.0,0.0038910505836575876,0.5,0.05514705882352941,0.9448529411764706,0.007722007722007722,-0.16772828055059655,0.004271196421876263
8,3.0,222.0,17.0,0.0,0.013333333333333334,1.0,0.08264462809917356,0.9297520661157025,0.02631578947368421,0.03079604024610322,0.029393395517122025
9,2.0,195.0,66.0,3.0,0.01015228426395939,0.4,0.2556390977443609,0.7406015037593985,0.019801980198019802,-0.10755615980208302,0.01109146751593769
10,18.0,2120.0,336.0,6.0,0.00841908325537886,0.75,0.14274193548387096,0.8613736352818776,0.01665124884366328,-0.03213803593897721,0.06352563789539768
