,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,3.0,38.0,0.0,0.4,1.0,0.9302325581395349,0.11627906976744186,0.5714285714285714,0.608877415673363,0.5375
1,4.0,4.0,31.0,0.0,0.5,1.0,0.8974358974358975,0.20512820512820512,0.6666666666666666,0.6654751256486924,0.25
2,4.0,6.0,33.0,0.0,0.4,1.0,0.8604651162790697,0.23255813953488372,0.5714285714285714,0.5817744738827396,0.275
3,3.0,2.0,33.0,0.0,0.6,1.0,0.9473684210526315,0.13157894736842105,0.75,0.7521398046336104,0.3
4,1.0,3.0,39.0,0.0,0.25,1.0,0.9302325581395349,0.09302325581395349,0.4,0.4818120558297158,0.16666666666666666
5,2.0,3.0,38.0,0.0,0.4,1.0,0.9302325581395349,0.11627906976744186,0.5714285714285714,0.608877415673363,0.2
6,4.0,5.0,33.0,0.0,0.4444444444444444,1.0,0.8809523809523809,0.21428571428571427,0.6153846153846154,0.6212607441973955,0.27777777777777773
7,1.0,10.0,32.0,1.0,0.09090909090909091,0.5,0.75,0.25,0.15384615384615385,0.12598815766974242,0.08202214452214451
8,5.0,7.0,31.0,0.0,0.4166666666666667,1.0,0.8372093023255814,0.27906976744186046,0.5882352941176471,0.5830199659546441,0.32500000000000007
9,1.0,6.0,34.0,0.0,0.14285714285714285,1.0,0.8536585365853658,0.17073170731707318,0.25,0.3484660262185848,0.07142857142857142
10,27.0,49.0,342.0,1.0,0.35526315789473684,0.9642857142857143,0.8806682577565632,0.18089338764249951,0.5192307692307693,0.5436982186639651,0.24853951603951602
