,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,4.0,37.0,0.0,0.3333333333333333,1.0,0.9069767441860465,0.13953488372093023,0.5,0.5484642268462743,0.8333333333333333
1,4.0,5.0,30.0,0.0,0.4444444444444444,1.0,0.8717948717948718,0.23076923076923078,0.6153846153846154,0.6172133998483676,0.25
2,4.0,6.0,33.0,0.0,0.4,1.0,0.8604651162790697,0.23255813953488372,0.5714285714285714,0.5817744738827396,0.2
3,3.0,5.0,30.0,0.0,0.375,1.0,0.868421052631579,0.21052631578947367,0.5454545454545454,0.5669467095138409,0.375
4,1.0,3.0,39.0,0.0,0.25,1.0,0.9302325581395349,0.09302325581395349,0.4,0.4818120558297158,0.125
5,2.0,5.0,36.0,0.0,0.2857142857142857,1.0,0.8837209302325582,0.16279069767441862,0.4444444444444444,0.5008703226778094,0.2
6,4.0,6.0,32.0,0.0,0.4,1.0,0.8571428571428571,0.23809523809523808,0.5714285714285714,0.5803810000880093,0.25
7,2.0,8.0,34.0,0.0,0.2,1.0,0.8181818181818182,0.22727272727272727,0.3333333333333333,0.4023739080814782,0.12251984126984126
8,5.0,8.0,30.0,0.0,0.38461538461538464,1.0,0.813953488372093,0.3023255813953488,0.5555555555555556,0.5510387687779839,0.25
9,1.0,7.0,33.0,0.0,0.125,1.0,0.8292682926829268,0.1951219512195122,0.2222222222222222,0.3211308144666282,0.08333333333333333
10,28.0,57.0,334.0,0.0,0.32941176470588235,1.0,0.863961813842482,0.2032018021285717,0.49557522123893805,0.5304621577429932,0.2689186507936508
