,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,14.0,1094.0,0.0,0.0,0.01263537906137184,1.0,0.01263537906137184,1.0,0.024955436720142603,0.0,0.04313636770832232
1,15.0,1178.0,0.0,0.0,0.012573344509639563,1.0,0.012573344509639563,1.0,0.024834437086092714,0.0,0.012211328005535682
2,10.0,1136.0,0.0,0.0,0.008726003490401396,1.0,0.008726003490401396,1.0,0.01730103806228374,0.0,0.20604523281504358
3,14.0,1026.0,0.0,0.0,0.013461538461538462,1.0,0.013461538461538462,1.0,0.026565464895635674,0.0,0.008062002254419899
4,15.0,1051.0,0.0,0.0,0.014071294559099437,1.0,0.014071294559099437,1.0,0.027752081406105456,0.0,0.1416791672752332
5,14.0,1094.0,0.0,0.0,0.01263537906137184,1.0,0.01263537906137184,1.0,0.024955436720142603,0.0,0.042952984636607586
6,15.0,1087.0,0.0,0.0,0.013611615245009074,1.0,0.013611615245009074,1.0,0.02685765443151298,0.0,0.008167851316441863
7,16.0,1091.0,0.0,0.0,0.014453477868112014,1.0,0.014453477868112014,1.0,0.028495102404274265,0.0,0.13454064107896577
8,13.0,1130.0,0.0,0.0,0.011373578302712161,1.0,0.011373578302712161,1.0,0.02249134948096886,0.0,0.011602230140610128
9,12.0,1120.0,0.0,0.0,0.01060070671378092,1.0,0.01060070671378092,1.0,0.02097902097902098,0.0,0.006422377757059253
10,138.0,11007.0,0.0,0.0,0.012382234185733513,1.0,0.012382234185733513,1.0,0.024461579367189575,-1.0,0.06148201829882392
