,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,6.0,129.0,26.0,2.0,0.044444444444444446,0.75,0.19631901840490798,0.8282208588957055,0.08391608391608392,-0.047113289615263926,0.039435922599062305
1,7.0,91.0,62.0,2.0,0.07142857142857142,0.7777777777777778,0.42592592592592593,0.6049382716049383,0.1308411214953271,0.08574929257125442,0.05727790414335013
2,17.0,106.0,45.0,6.0,0.13821138211382114,0.7391304347826086,0.3563218390804598,0.7068965517241379,0.2328767123287671,0.02763755850145913,0.16485387918352262
3,13.0,95.0,51.0,9.0,0.12037037037037036,0.5909090909090909,0.38095238095238093,0.6428571428571429,0.2,-0.04208486684915802,0.0956744220287754
4,15.0,123.0,39.0,3.0,0.10869565217391304,0.8333333333333334,0.3,0.7666666666666667,0.19230769230769232,0.05254069374927337,0.08789469735455353
5,10.0,117.0,25.0,0.0,0.07874015748031496,1.0,0.23026315789473684,0.8355263157894737,0.145985401459854,0.11773998378522732,0.061421932159749275
6,13.0,138.0,15.0,0.0,0.08609271523178808,1.0,0.1686746987951807,0.9096385542168675,0.15853658536585366,0.09187198853636663,0.07057952225827073
7,10.0,137.0,16.0,0.0,0.06802721088435375,1.0,0.15950920245398773,0.901840490797546,0.12738853503184713,0.08434427481334242,0.05764546199194376
8,12.0,110.0,11.0,3.0,0.09836065573770492,0.8,0.16911764705882354,0.8970588235294118,0.17518248175182483,-0.11245608041995418,0.07842033129811385
9,8.0,113.0,51.0,3.0,0.06611570247933884,0.7272727272727273,0.33714285714285713,0.6914285714285714,0.12121212121212122,0.02009746398466162,0.10649238383234925
10,111.0,1159.0,341.0,28.0,0.08740157480314961,0.7985611510791367,0.27577791336180596,0.7785072247510462,0.1575585521646558,0.017272104394543342,0.08196964568496909
