,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,72.0,37.0,0.0,0.04,1.0,0.35714285714285715,0.6696428571428571,0.07692307692307693,0.11652459676555911,0.0697772582635236
1,1.0,81.0,28.0,2.0,0.012195121951219513,0.3333333333333333,0.25892857142857145,0.7321428571428571,0.023529411764705882,-0.14940439336917768,0.21430984986166898
2,2.0,103.0,19.0,0.0,0.01904761904761905,1.0,0.1693548387096774,0.8467741935483871,0.037383177570093455,0.05446496557080704,0.2955525078369906
3,3.0,74.0,27.0,0.0,0.03896103896103896,1.0,0.28846153846153844,0.7403846153846154,0.075,0.10205551061559791,0.02659598466050079
4,2.0,94.0,14.0,0.0,0.020833333333333332,1.0,0.14545454545454545,0.8727272727272727,0.04081632653061224,0.05196746370519363,0.020202020202020204
5,2.0,72.0,25.0,0.0,0.02702702702702703,1.0,0.2727272727272727,0.7474747474747475,0.05263157894736842,0.08346094065617252,0.31373626373626373
6,2.0,87.0,23.0,0.0,0.02247191011235955,1.0,0.22321428571428573,0.7946428571428571,0.04395604395604396,0.06854686071879916,0.09126984126984126
7,2.0,76.0,21.0,1.0,0.02564102564102564,0.6666666666666666,0.23,0.78,0.04938271604938271,-0.04811425668577865,0.02193172680977559
8,0.0,81.0,27.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.5
9,2.0,76.0,31.0,2.0,0.02564102564102564,0.5,0.2972972972972973,0.7027027027027027,0.04878048780487805,-0.08574649044414974,0.02599854811817716
10,19.0,816.0,252.0,5.0,0.022754491017964073,0.7916666666666666,0.24816849816849818,0.7636492103266297,0.04423748544819558,0.009546236975566653,0.1579374000758762
