,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,114.0,67.0,3.0,0.008695652173913044,0.25,0.3675675675675676,0.6216216216216216,0.01680672268907563,-0.11391094914054452,0.013915349929742006
1,2.0,145.0,28.0,0.0,0.013605442176870748,1.0,0.17142857142857143,0.84,0.026845637583892617,0.04692586583237233,0.007127535189607757
2,2.0,119.0,77.0,1.0,0.01652892561983471,0.6666666666666666,0.3969849246231156,0.6080402010050251,0.03225806451612903,0.014857282965013943,0.011168048429414575
3,1.0,132.0,37.0,0.0,0.007518796992481203,1.0,0.2235294117647059,0.7823529411764706,0.014925373134328358,0.04057249255591806,0.010638297872340425
4,2.0,135.0,54.0,0.0,0.014598540145985401,1.0,0.2931937172774869,0.7172774869109948,0.02877697841726619,0.06458336837206266,0.008818977168684329
5,3.0,136.0,64.0,1.0,0.02158273381294964,0.75,0.3284313725490196,0.6813725490196079,0.04195804195804196,0.020829505274571402,0.017576063578724634
6,3.0,170.0,10.0,0.0,0.017341040462427744,1.0,0.07103825136612021,0.9453551912568307,0.03409090909090909,0.031038542762210044,0.019287096824638618
7,1.0,161.0,30.0,0.0,0.006172839506172839,1.0,0.16145833333333334,0.84375,0.012269938650306749,0.0311376932892906,0.005154639175257732
8,2.0,139.0,34.0,1.0,0.014184397163120567,0.6666666666666666,0.20454545454545456,0.8011363636363636,0.027777777777777776,-0.04436404031643426,0.012834735449408106
9,1.0,152.0,31.0,1.0,0.006535947712418301,0.5,0.17297297297297298,0.827027027027027,0.012903225806451613,-0.09039077771635622,0.00665623498446225
10,18.0,1403.0,432.0,7.0,0.012667135819845179,0.72,0.24193548387096775,0.7667933381653941,0.024896265560165973,-0.012088599086745077,0.011317697860228043
