,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,2.0,30.0,6.0,0.0,0.0625,1.0,0.21052631578947367,0.8421052631578947,0.11764705882352941,0.10206207261596575,0.045548654244306416
1,4.0,12.0,20.0,0.0,0.25,1.0,0.6666666666666666,0.4444444444444444,0.4,0.3952847075210474,0.13333333333333333
2,1.0,13.0,21.0,2.0,0.07142857142857142,0.3333333333333333,0.5945945945945946,0.3783783783783784,0.11764705882352941,-0.027589382646795918,0.07413769026672253
3,0.0,16.0,14.0,2.0,0.0,0.0,0.4375,0.5,0.0,-0.2581988897471611,0.05213903743315508
4,0.0,27.0,6.0,4.0,0.0,0.0,0.16216216216216217,0.7297297297297297,0.0,-0.5720775535473555,0.06092799188640973
5,0.0,27.0,20.0,5.0,0.0,0.0,0.38461538461538464,0.5192307692307693,0.0,-0.33895960971961925,0.06944444444444445
6,0.0,26.0,16.0,0.0,0.0,0.0,0.38095238095238093,0.6190476190476191,0.0,0.0,0.5
7,2.0,27.0,13.0,0.0,0.06896551724137931,1.0,0.35714285714285715,0.6904761904761905,0.12903225806451613,0.14971236790408557,0.17142857142857143
8,1.0,17.0,19.0,0.0,0.05555555555555555,1.0,0.5405405405405406,0.4864864864864865,0.10526315789473684,0.17123372230469378,0.041666666666666664
9,1.0,36.0,11.0,0.0,0.02702702702702703,1.0,0.25,0.7708333333333334,0.05263157894736842,0.07953285114077574,0.029411764705882353
10,11.0,231.0,146.0,13.0,0.045454545454545456,0.4583333333333333,0.3915211970074813,0.5980732214284845,0.08270676691729323,-0.0748710398699181,0.1178038154409492
