,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,79.0,27.0,5.0,0.04819277108433735,0.4444444444444444,0.26956521739130435,0.7217391304347827,0.08695652173913043,-0.18029914781589956,0.07576567372068092
1,4.0,49.0,36.0,7.0,0.07547169811320754,0.36363636363636365,0.4166666666666667,0.5520833333333334,0.125,-0.13632487507555144,0.08389091164753802
2,3.0,43.0,49.0,2.0,0.06521739130434782,0.6,0.5360824742268041,0.4742268041237113,0.11764705882352941,0.058720117410810665,0.04882168800862275
3,2.0,65.0,41.0,7.0,0.029850746268656716,0.2222222222222222,0.3739130434782609,0.5826086956521739,0.05263157894736842,-0.2129494998626309,0.04925517209931481
4,9.0,76.0,20.0,0.0,0.10588235294117647,1.0,0.2761904761904762,0.8095238095238095,0.19148936170212766,0.14852213144650114,0.12080163527464369
5,3.0,45.0,56.0,4.0,0.0625,0.42857142857142855,0.5462962962962963,0.4444444444444444,0.10909090909090909,-0.008409599149190806,0.06563501745043326
6,4.0,68.0,28.0,5.0,0.05555555555555555,0.4444444444444444,0.3047619047619048,0.6857142857142857,0.09876543209876543,-0.1591309874160419,0.06332616471935358
7,1.0,48.0,34.0,6.0,0.02040816326530612,0.14285714285714285,0.39325842696629215,0.550561797752809,0.03571428571428571,-0.23946923936876335,0.045875682288725766
8,5.0,67.0,36.0,9.0,0.06944444444444445,0.35714285714285715,0.3504273504273504,0.6153846153846154,0.11627906976744186,-0.19569747946104565,0.08171700555240928
9,0.0,40.0,45.0,10.0,0.0,0.0,0.47368421052631576,0.42105263157894735,0.0,-0.29250896965085227,0.07479040912139505
10,35.0,580.0,372.0,55.0,0.056910569105691054,0.3888888888888889,0.390595009596929,0.5857339547942912,0.09929078014184398,-0.12586667673600122,0.07098793598831171
