,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,228.0,1.0,0.0,0.0,0.9956331877729258,0.0,0.0,0.0,0.045454545454545456
1,0.0,0.0,237.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
2,0.0,0.0,248.0,1.0,0.0,0.0,0.9959839357429718,0.0,0.0,0.0,0.0036496350364963502
3,0.0,0.0,234.0,2.0,0.0,0.0,0.9915254237288136,0.0,0.0,0.0,0.007273789393798181
4,0.0,0.0,225.0,2.0,0.0,0.0,0.9911894273127754,0.0,0.0,0.0,0.013888888888888888
5,0.0,0.0,265.0,6.0,0.0,0.0,0.977859778597786,0.0,0.0,0.0,0.04108793828816422
6,0.0,0.0,254.0,2.0,0.0,0.0,0.9921875,0.0,0.0,0.0,0.02795248078266946
7,0.0,0.0,255.0,1.0,0.0,0.0,0.99609375,0.0,0.0,0.0,0.001953125
8,0.0,0.0,244.0,2.0,0.0,0.0,0.991869918699187,0.0,0.0,0.0,0.018212951432129514
9,0.0,0.0,266.0,4.0,0.0,0.0,0.9851851851851852,0.0,0.0,0.0,0.022761983082706768
10,0.0,0.0,2456.0,21.0,-1.0,0.0,0.991522002422285,0.0,0.0,-1.0,0.06822353373593987
