,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,24.0,157.0,4.0,0.0,0.0,0.8486486486486486,0.12972972972972974,0.0,-0.0573962331490378,0.021726300431615206
1,0.0,19.0,154.0,2.0,0.0,0.0,0.88,0.10857142857142857,0.0,-0.037523768466676086,0.017645164124037365
2,0.0,20.0,176.0,3.0,0.0,0.0,0.8844221105527639,0.10050251256281408,0.0,-0.04135433809427491,0.01183424513169963
3,0.0,18.0,151.0,1.0,0.0,0.0,0.888235294117647,0.10588235294117647,0.0,-0.02647104621583405,0.0078125
4,0.0,13.0,176.0,2.0,0.0,0.0,0.9214659685863874,0.06806282722513089,0.0,-0.02780006240051779,0.00696010352072977
5,0.0,23.0,177.0,4.0,0.0,0.0,0.8676470588235294,0.11274509803921569,0.0,-0.05041266174373654,0.020950433426714262
6,0.0,20.0,160.0,3.0,0.0,0.0,0.8743169398907104,0.1092896174863388,0.0,-0.04522156316461346,0.011735823597103581
7,0.0,8.0,183.0,1.0,0.0,0.0,0.953125,0.041666666666666664,0.0,-0.015087573484912842,0.013513513513513514
8,0.0,14.0,159.0,3.0,0.0,0.0,0.9034090909090909,0.07954545454545454,0.0,-0.03871186426697402,0.03160180797795477
9,0.0,12.0,171.0,2.0,0.0,0.0,0.9243243243243243,0.06486486486486487,0.0,-0.02753322123511052,0.008776520579501025
10,0.0,171.0,1664.0,25.0,0.0,0.0,-1.0,0.09208605526328204,-1.0,-0.03713942712343814,0.01525564123028691
