,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,4.0,32.0,1.0,0.2,0.5,0.868421052631579,0.13157894736842105,0.28571428571428575,0.2568915451961508,0.11118881118881119
1,0.0,1.0,31.0,4.0,0.0,0.0,0.8611111111111112,0.027777777777777776,0.0,-0.05976143046671968,0.34285714285714286
2,0.0,1.0,33.0,3.0,0.0,0.0,0.8918918918918919,0.02702702702702703,0.0,-0.04950737714883372,0.09718915343915344
3,0.0,3.0,27.0,2.0,0.0,0.0,0.84375,0.09375,0.0,-0.08304547985373997,0.18392857142857144
4,0.0,3.0,30.0,4.0,0.0,0.0,0.8108108108108109,0.08108108108108109,0.0,-0.10341753799900383,0.22722069597069597
5,0.0,2.0,45.0,5.0,0.0,0.0,0.8653846153846154,0.038461538461538464,0.0,-0.06523280730534423,0.2722943722943723
6,0.0,3.0,39.0,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.0,0.0,0.5
7,0.0,0.0,40.0,2.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.11274509803921569
8,0.0,0.0,36.0,1.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.023809523809523808
9,0.0,4.0,43.0,1.0,0.0,0.0,0.8958333333333334,0.08333333333333333,0.0,-0.04397994971335425,0.03333333333333333
10,1.0,21.0,356.0,23.0,0.045454545454545456,0.041666666666666664,0.8902743142144638,0.055443827647775015,0.043478260869565216,-0.014621653220736467,0.19045667023608204
