,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,4.0,37.0,2.0,0.0,0.0,0.8604651162790697,0.09302325581395349,0.0,-0.07073278556897407,0.09823232323232324
1,0.0,0.0,35.0,4.0,0.0,0.0,0.8974358974358975,0.0,0.0,0.0,0.2708333333333333
2,0.0,1.0,38.0,4.0,0.0,0.0,0.8837209302325582,0.023255813953488372,0.0,-0.049416621110740085,0.1332742484401588
3,0.0,3.0,32.0,3.0,0.0,0.0,0.8421052631578947,0.07894736842105263,0.0,-0.08571428571428572,0.16666666666666666
4,0.0,3.0,39.0,1.0,0.0,0.0,0.9069767441860465,0.06976744186046512,0.0,-0.042257712736425826,0.07142857142857142
5,0.0,1.0,40.0,2.0,0.0,0.0,0.9302325581395349,0.023255813953488372,0.0,-0.03407990882954985,0.1111111111111111
6,0.0,1.0,37.0,4.0,0.0,0.0,0.8809523809523809,0.023809523809523808,0.0,-0.05066945919381399,0.225
7,0.0,0.0,42.0,2.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.09545454545454546
8,0.0,1.0,37.0,5.0,0.0,0.0,0.8604651162790697,0.023255813953488372,0.0,-0.05597170785495563,0.23803030303030304
9,0.0,0.0,40.0,1.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.16666666666666666
10,0.0,14.0,377.0,28.0,0.0,0.0,-1.0,0.03353150317654601,-1.0,-0.049753901633893434,0.15766977693636797
