,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,121.0,1220.0,29.0,0.0,0.0,0.8905109489051095,0.08832116788321168,0.0,-0.04577159810596607,0.014769571582909613
1,3.0,163.0,1155.0,12.0,0.018072289156626505,0.2,0.8687171792948237,0.1245311327831958,0.03314917127071823,0.024383521830592645,0.01741625863847941
2,1.0,150.0,1190.0,15.0,0.006622516556291391,0.0625,0.8783185840707964,0.11135693215339233,0.011976047904191616,-0.016971158036332527,0.013454711594083069
3,1.0,143.0,1219.0,13.0,0.006944444444444444,0.07142857142857142,0.8866279069767442,0.10465116279069768,0.012658227848101266,-0.011003752217759653,0.00924991654880055
4,1.0,152.0,1256.0,19.0,0.006535947712418301,0.05,0.8802521008403361,0.10714285714285714,0.011560693641618498,-0.022019275302527213,0.011793762118588201
5,0.0,126.0,1243.0,17.0,0.0,0.0,0.8968253968253969,0.09090909090909091,0.0,-0.035238931920014316,0.010025526698961635
6,0.0,118.0,1178.0,22.0,0.0,0.0,0.8937784522003035,0.08952959028831563,0.0,-0.040856317542426315,0.014736957414498103
7,0.0,124.0,1223.0,15.0,0.0,0.0,0.8979441997063142,0.09104258443465492,0.0,-0.03339737645040132,0.00943543135214824
8,1.0,150.0,1204.0,18.0,0.006622516556291391,0.05263157894736842,0.8776402039329935,0.1099781500364166,0.011764705882352943,-0.021713077589641243,0.011629983659621616
9,0.0,153.0,1197.0,10.0,0.0,0.0,0.8801470588235294,0.1125,0.0,-0.03064257065179478,0.006452225226949935
10,7.0,1400.0,12085.0,170.0,0.004975124378109453,0.03954802259887006,0.8850827111696677,0.10299626684218326,0.008838383838383838,-0.023912429350906667,0.011896434483504036
