,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,8.0,151.0,3.0,0.0,0.0,0.9320987654320988,0.04938271604938271,0.0,-0.03130737810082713,0.04395114708158186
1,0.0,7.0,148.0,1.0,0.0,0.0,0.9487179487179487,0.04487179487179487,0.0,-0.017409649858777722,0.006024096385542169
2,0.0,7.0,157.0,3.0,0.0,0.0,0.9401197604790419,0.041916167664670656,0.0,-0.028289660267468406,0.02061863467956869
3,0.0,10.0,183.0,2.0,0.0,0.0,0.9384615384615385,0.05128205128205128,0.0,-0.02366739609390617,0.032009282009282006
4,0.0,4.0,139.0,0.0,0.0,0.0,0.972027972027972,0.027972027972027972,0.0,0.0,0.5
5,0.0,6.0,163.0,2.0,0.0,0.0,0.9532163742690059,0.03508771929824561,0.0,-0.02074461115271514,0.007042253521126761
6,1.0,2.0,145.0,2.0,0.3333333333333333,0.3333333333333333,0.9733333333333334,0.02,0.3333333333333333,0.3197278911564626,0.3511952384075146
7,1.0,7.0,151.0,1.0,0.125,0.5,0.95,0.05,0.2,0.2323015798138503,0.03612179487179487
8,0.0,7.0,160.0,6.0,0.0,0.0,0.9248554913294798,0.04046242774566474,0.0,-0.0389235430651827,0.02718851638785379
9,0.0,3.0,158.0,3.0,0.0,0.0,0.9634146341463414,0.018292682926829267,0.0,-0.018633540372670808,0.014582766124256439
10,2.0,61.0,1555.0,23.0,0.031746031746031744,0.08,0.9488117001828154,0.03792675878106671,0.045454545454545456,0.02693512928213632,0.1038733729468521
