,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,106.0,9.0,0.0,0.0,0.9217391304347826,0.0,0.0,0.0,0.10543681793188618
1,0.0,0.0,85.0,11.0,0.0,0.0,0.8854166666666666,0.0,0.0,0.0,0.10920299672185692
2,0.0,0.0,92.0,5.0,0.0,0.0,0.9484536082474226,0.0,0.0,0.0,0.05463258662119215
3,0.0,0.0,106.0,9.0,0.0,0.0,0.9217391304347826,0.0,0.0,0.0,0.5741015826748075
4,0.0,0.0,96.0,9.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.0,0.11185757203263762
5,0.0,0.0,101.0,7.0,0.0,0.0,0.9351851851851852,0.0,0.0,0.0,0.08166382495026996
6,0.0,0.0,96.0,9.0,0.0,0.0,0.9142857142857143,0.0,0.0,0.0,0.1074394151600034
7,0.0,0.0,82.0,7.0,0.0,0.0,0.9213483146067416,0.0,0.0,0.0,0.28521900712911946
8,0.0,0.0,103.0,14.0,0.0,0.0,0.8803418803418803,0.0,0.0,0.0,0.12928344265553565
9,0.0,0.0,85.0,10.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.2883187134502924
10,0.0,0.0,952.0,90.0,-1.0,0.0,0.9136276391554703,0.0,0.0,-1.0,0.18471559593276013
