,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,41.0,2.0,0.0,0.0,0.9534883720930233,0.0,0.0,0.0,0.375
1,0.0,0.0,35.0,4.0,0.0,0.0,0.8974358974358975,0.0,0.0,0.0,0.4583333333333333
2,0.0,0.0,39.0,4.0,0.0,0.0,0.9069767441860465,0.0,0.0,0.0,0.09908536585365854
3,0.0,0.0,35.0,3.0,0.0,0.0,0.9210526315789473,0.0,0.0,0.0,0.3
4,0.0,0.0,42.0,1.0,0.0,0.0,0.9767441860465116,0.0,0.0,0.0,0.0625
5,0.0,0.0,41.0,2.0,0.0,0.0,0.9534883720930233,0.0,0.0,0.0,0.125
6,0.0,0.0,38.0,4.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,0.05263157894736842
7,0.0,0.0,42.0,2.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.030094139928698752
8,0.0,0.0,38.0,5.0,0.0,0.0,0.8837209302325582,0.0,0.0,0.0,0.37500000000000006
9,0.0,0.0,40.0,1.0,0.0,0.0,0.975609756097561,0.0,0.0,0.0,0.013888888888888888
10,0.0,0.0,391.0,28.0,-1.0,0.0,0.9331742243436754,0.0,0.0,-1.0,0.18915333069519477
