,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,1.0,1340.0,29.0,0.0,0.0,0.9781021897810219,0.00072992700729927,0.0,-0.0039745035200543675,0.02187447891507513
1,0.0,11.0,1307.0,15.0,0.0,0.0,0.9804951237809453,0.008252063015753939,0.0,-0.009731247971961137,0.008083347266994143
2,0.0,16.0,1324.0,16.0,0.0,0.0,0.976401179941003,0.011799410029498525,0.0,-0.011940298507462687,0.008163321788569862
3,0.0,10.0,1352.0,14.0,0.0,0.0,0.9825581395348837,0.007267441860465116,0.0,-0.008674613112595406,0.006819060887687192
4,0.0,28.0,1380.0,20.0,0.0,0.0,0.9663865546218487,0.0196078431372549,0.0,-0.016854996561581053,0.010005606501978131
5,7.0,744.0,625.0,10.0,0.009320905459387484,0.4117647058823529,0.455988455988456,0.5418470418470418,0.018229166666666668,-0.029093599960262877,0.016686845861578637
6,13.0,719.0,577.0,9.0,0.017759562841530054,0.5909090909090909,0.44764795144157815,0.5553869499241275,0.034482758620689655,0.009313631161178854,0.21805081422625316
7,0.0,1.0,1346.0,15.0,0.0,0.0,0.9882525697503671,0.0007342143906020558,0.0,-0.0028604395161561163,0.007958241783473843
8,0.0,2.0,1352.0,19.0,0.0,0.0,0.9847050254916242,0.0014566642388929353,0.0,-0.0045244285972526905,0.020992900781161974
9,0.0,18.0,1332.0,10.0,0.0,0.0,0.9794117647058823,0.013235294117647059,0.0,-0.009967657584149522,0.004611691986068797
10,20.0,1550.0,11935.0,157.0,0.012738853503184714,0.11299435028248588,0.8750548967940273,0.11603168495685831,0.02289639381797367,-0.0006907834894407177,0.032324630999884085
