,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,0.0,36.0,2.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.049055330634278
1,0.0,0.0,32.0,4.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.08
2,0.0,0.0,34.0,3.0,0.0,0.0,0.918918918918919,0.0,0.0,0.0,0.06612903225806452
3,0.0,0.0,30.0,2.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.04345238095238095
4,0.0,1.0,32.0,4.0,0.0,0.0,0.8648648648648649,0.02702702702702703,0.0,-0.058025885318565944,0.2257205513784461
5,0.0,0.0,47.0,5.0,0.0,0.0,0.9038461538461539,0.0,0.0,0.0,0.10073260073260074
6,0.0,5.0,37.0,0.0,0.0,0.0,0.8809523809523809,0.11904761904761904,0.0,0.0,0.5
7,1.0,1.0,39.0,1.0,0.5,0.5,0.9523809523809523,0.047619047619047616,0.5,0.475,0.3982160312805474
8,0.0,0.0,36.0,1.0,0.0,0.0,0.972972972972973,0.0,0.0,0.0,0.25
9,0.0,0.0,47.0,1.0,0.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.029411764705882353
10,1.0,7.0,370.0,23.0,0.125,0.041666666666666664,0.9251870324189526,0.01936936936936937,0.0625,0.03918580035277,0.17427176919422
