,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,6.0,209.0,22.0,1.0,0.027906976744186046,0.8571428571428571,0.11764705882352941,0.9033613445378151,0.05405405405405406,-0.027230308853484403,0.13869365103318748
1,2.0,207.0,37.0,3.0,0.009569377990430622,0.4,0.1566265060240964,0.8393574297188755,0.018691588785046728,-0.1712790605694007,0.1137906001186689
2,5.0,239.0,5.0,1.0,0.020491803278688523,0.8333333333333334,0.04,0.976,0.04,-0.14617486338797814,0.014368919875108212
3,2.0,229.0,11.0,0.0,0.008658008658008658,1.0,0.05371900826446281,0.9545454545454546,0.017167381974248927,0.019920476822239894,0.00524433649816381
4,8.0,193.0,23.0,0.0,0.03980099502487562,1.0,0.13839285714285715,0.8973214285714286,0.07655502392344497,0.06510045249217421,0.08503092799096998
5,6.0,199.0,19.0,0.0,0.02926829268292683,1.0,0.11160714285714286,0.9151785714285714,0.05687203791469194,0.05050649703758304,0.10114331419106262
6,1.0,222.0,15.0,0.0,0.004484304932735426,1.0,0.06722689075630252,0.9369747899159664,0.008928571428571428,0.01684686225665323,0.0024875621890547263
7,6.0,221.0,20.0,1.0,0.02643171806167401,0.8571428571428571,0.10483870967741936,0.9153225806451613,0.05128205128205128,-0.03561568130428875,0.018055349931967498
8,5.0,207.0,6.0,2.0,0.02358490566037736,0.7142857142857143,0.05,0.9636363636363636,0.045662100456621,-0.24147906114771125,0.040690062982255776
9,6.0,231.0,20.0,0.0,0.02531645569620253,1.0,0.10116731517509728,0.9221789883268483,0.04938271604938271,0.04491377812913172,0.016805280003236396
10,47.0,2157.0,178.0,8.0,0.02132486388384755,0.8545454545454545,0.09414225941422594,0.9223876951326485,0.04161133244798584,-0.038744914474901984,0.05363100048136754
