,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,11.0,209.0,6.0,0.0,0.05,1.0,0.0752212389380531,0.9734513274336283,0.09523809523809523,0.03735436838188142,0.12463350223033906
1,13.0,200.0,6.0,3.0,0.06103286384976526,0.8125,0.08558558558558559,0.9594594594594594,0.11353711790393013,-0.2076662138931735,0.07701333339954343
2,9.0,178.0,10.0,3.0,0.0481283422459893,0.75,0.095,0.935,0.09045226130653267,-0.18959240821276188,0.03675878654956354
3,12.0,198.0,5.0,4.0,0.05714285714285714,0.75,0.0776255707762557,0.958904109589041,0.10619469026548672,-0.29544195514906735,0.17054768657037475
4,5.0,196.0,10.0,0.0,0.024875621890547265,1.0,0.07109004739336493,0.95260663507109,0.04854368932038835,0.034749884326515074,0.01797863687741857
5,9.0,221.0,0.0,1.0,0.0391304347826087,0.9,0.03896103896103896,0.9956709956709957,0.075,-0.30997896141793096,0.02786448620115291
6,8.0,201.0,7.0,1.0,0.03827751196172249,0.8888888888888888,0.06912442396313365,0.9631336405529954,0.07339449541284404,-0.08195905522719318,0.1977593301198974
7,9.0,177.0,14.0,2.0,0.04838709677419355,0.8181818181818182,0.11386138613861387,0.9207920792079208,0.09137055837563451,-0.09118121131175985,0.21891088364362377
8,6.0,195.0,6.0,1.0,0.029850746268656716,0.8571428571428571,0.057692307692307696,0.9663461538461539,0.057692307692307696,-0.11300639658848614,0.09393186344668343
9,11.0,205.0,11.0,10.0,0.05092592592592592,0.5238095238095238,0.09282700421940929,0.9113924050632911,0.09282700421940929,-0.4252645502645503,0.22500564392033146
10,93.0,1980.0,75.0,25.0,0.04486251808972504,0.788135593220339,0.07731247123791993,0.9536756805894575,0.0848927430397079,-0.18966961143106212,0.11904041529589285
