,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,9.0,96.0,10.0,0.0,0.08571428571428572,1.0,0.16521739130434782,0.9130434782608695,0.15789473684210525,0.0899235973995271,0.2824734249416645
1,11.0,70.0,15.0,0.0,0.13580246913580246,1.0,0.2708333333333333,0.84375,0.2391304347826087,0.15480678800427466,0.1968837903187668
2,5.0,92.0,0.0,0.0,0.05154639175257732,1.0,0.05154639175257732,1.0,0.09803921568627451,0.0,0.046081341212284
3,9.0,84.0,22.0,0.0,0.0967741935483871,1.0,0.26956521739130435,0.808695652173913,0.17647058823529413,0.14172229881617332,0.17569417935271595
4,9.0,90.0,6.0,0.0,0.09090909090909091,1.0,0.14285714285714285,0.9428571428571428,0.16666666666666666,0.07537783614444091,0.06194920064176723
5,7.0,101.0,0.0,0.0,0.06481481481481481,1.0,0.06481481481481481,1.0,0.12173913043478261,0.0,0.2925866160417655
6,9.0,79.0,17.0,0.0,0.10227272727272728,1.0,0.24761904761904763,0.8380952380952381,0.18556701030927836,0.13457635548098879,0.07359625668449198
7,7.0,69.0,13.0,0.0,0.09210526315789473,1.0,0.2247191011235955,0.8539325842696629,0.1686746987951807,0.12083895859893859,0.12004126477810688
8,14.0,87.0,16.0,0.0,0.13861386138613863,1.0,0.2564102564102564,0.8632478632478633,0.24347826086956523,0.1467387144294575,0.25069213291377157
9,10.0,65.0,20.0,0.0,0.13333333333333333,1.0,0.3157894736842105,0.7894736842105263,0.23529411764705882,0.17712297710801905,0.08494110275689225
10,90.0,833.0,119.0,0.0,0.09750812567713976,1.0,0.20057581573896352,0.8853095643115216,0.17769002961500494,0.11040161099206149,0.15849393096422265
