,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,653.0,364.0,2.0,0.004573170731707317,0.6,0.35909980430528377,0.6418786692759295,0.009077155824508321,-0.006124573238092829,0.0036821503677372195
1,1.0,764.0,254.0,2.0,0.00130718954248366,0.3333333333333333,0.24975514201762977,0.7492654260528894,0.0026041666666666665,-0.05209358085816336,0.0018318704229775811
2,0.0,835.0,195.0,0.0,0.0,0.0,0.18932038834951456,0.8106796116504854,0.0,0.0,0.5
3,1.0,630.0,380.0,1.0,0.001584786053882726,0.5,0.37648221343873517,0.6235177865612648,0.00315955766192733,-0.011344546941718,0.0014269039202052837
4,2.0,690.0,285.0,0.0,0.002890173410404624,1.0,0.2937563971340839,0.7082906857727738,0.005763688760806916,0.0290657860716759,0.0022226570399275
5,0.0,739.0,260.0,0.0,0.0,0.0,0.2602602602602603,0.7397397397397397,0.0,0.0,0.5
6,4.0,887.0,167.0,0.0,0.004489337822671156,1.0,0.16162570888468808,0.8421550094517959,0.008938547486033519,0.02667037202963843,0.0032895941222424218
7,1.0,669.0,363.0,0.0,0.0014925373134328358,1.0,0.35237173281703776,0.648596321393998,0.0029806259314456036,0.022912689114494615,0.0012919896640826874
8,2.0,738.0,290.0,0.0,0.002702702702702703,1.0,0.283495145631068,0.7184466019417476,0.005390835579514825,0.027612236188659385,0.0022303427419354837
9,1.0,667.0,251.0,0.0,0.0014970059880239522,1.0,0.27421109902067464,0.7268770402611534,0.0029895366218236174,0.02023146299121047,0.0012787723785166241
10,15.0,7272.0,2809.0,5.0,0.0020584602717167557,0.75,0.27957627957627956,0.7209446892101777,0.004105652114410839,0.0028401988814359645,0.10172542806576249
