,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,14.0,790.0,551.0,15.0,0.017412935323383085,0.4827586206896552,0.4124087591240876,0.5868613138686132,0.03361344537815126,-0.031090728782223537,0.021461116759816663
1,6.0,739.0,579.0,9.0,0.008053691275167786,0.4,0.43885971492873216,0.5588897224306076,0.015789473684210527,-0.03413870798467524,0.008188349418403235
2,4.0,590.0,750.0,12.0,0.006734006734006734,0.25,0.556047197640118,0.43805309734513276,0.013114754098360656,-0.04141684993394602,0.007969229882401913
3,5.0,812.0,550.0,9.0,0.006119951040391677,0.35714285714285715,0.40334302325581395,0.59375,0.012033694344163659,-0.0488432795879189,0.007571702755602326
4,9.0,847.0,561.0,11.0,0.010514018691588784,0.45,0.39915966386554624,0.5994397759103641,0.02054794520547945,-0.03634738647543364,0.00954035164066217
5,9.0,828.0,541.0,8.0,0.010752688172043012,0.5294117647058824,0.3968253968253968,0.6038961038961039,0.02107728337236534,-0.016970789037884335,0.008877322448553738
6,11.0,694.0,602.0,11.0,0.015602836879432624,0.5,0.4650986342943854,0.5349013657056145,0.030261348005502064,-0.00911678841254169,0.015665521321644442
7,10.0,859.0,488.0,5.0,0.011507479861910242,0.6666666666666666,0.3656387665198238,0.6380323054331865,0.02262443438914027,0.006287718509372305,0.009808470430693246
8,7.0,603.0,751.0,12.0,0.011475409836065573,0.3684210526315789,0.5520757465404225,0.4442825928623452,0.022257551669316374,-0.01808558141741712,0.010324338429746371
9,2.0,660.0,690.0,8.0,0.0030211480362537764,0.2,0.5088235294117647,0.48676470588235293,0.005952380952380952,-0.04937885516858135,0.004706316660437099
10,77.0,7422.0,6063.0,100.0,0.010268035738098412,0.4350282485875706,0.4494217537695799,0.548487098333432,0.020062532569046373,-0.02621643498793775,0.01041127197479612
