,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,0.0,32.0,18.0,2.0,0.0,0.0,0.34615384615384615,0.6153846153846154,0.0,-0.25298221281347033,0.021749408983451537
1,0.0,18.0,33.0,3.0,0.0,0.0,0.6111111111111112,0.3333333333333333,0.0,-0.17149858514250885,0.03536673353746524
2,4.0,16.0,26.0,1.0,0.2,0.8,0.6382978723404256,0.425531914893617,0.32,0.26132210320325944,0.36933395004625347
3,1.0,16.0,29.0,2.0,0.058823529411764705,0.3333333333333333,0.625,0.3541666666666667,0.1,-0.011247320293685128,0.07261055937526525
4,1.0,15.0,31.0,2.0,0.0625,0.3333333333333333,0.6530612244897959,0.32653061224489793,0.10526315789473684,0.003704618537286559,0.22924099147503402
5,0.0,18.0,16.0,1.0,0.0,0.0,0.45714285714285713,0.5142857142857142,0.0,-0.17647058823529413,0.025
6,2.0,26.0,14.0,3.0,0.07142857142857142,0.4,0.35555555555555557,0.6222222222222222,0.12121212121212122,-0.1620509308880411,0.07249410117193748
7,0.0,13.0,29.0,4.0,0.0,0.0,0.6304347826086957,0.2826086956521739,0.0,-0.19369573438265883,0.05157708906950445
8,1.0,17.0,22.0,3.0,0.05555555555555555,0.25,0.5348837209302325,0.4186046511627907,0.09090909090909091,-0.1094534466339776,0.20874176071107559
9,1.0,17.0,19.0,4.0,0.05555555555555555,0.2,0.4878048780487805,0.43902439024390244,0.08695652173913043,-0.17949801775774202,0.07539708227788723
10,10.0,188.0,237.0,25.0,0.050505050505050504,0.2857142857142857,0.5369565217391304,0.4331692816089934,0.08583690987124463,-0.08387725189073784,0.11615116766478743
