,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,5.0,35.0,32.0,0.0,0.125,1.0,0.5138888888888888,0.5555555555555556,0.2222222222222222,0.24433888871261047,0.11681971514242878
1,5.0,20.0,38.0,0.0,0.2,1.0,0.6825396825396826,0.3968253968253968,0.3333333333333333,0.36198685440029543,0.5896825396825397
2,2.0,33.0,38.0,0.0,0.05714285714285714,1.0,0.547945205479452,0.4794520547945205,0.10810810810810811,0.17488139125143137,0.3220238095238095
3,4.0,36.0,37.0,0.0,0.1,1.0,0.5324675324675324,0.5194805194805194,0.18181818181818182,0.22513314173361795,0.5802083333333333
4,2.0,45.0,29.0,1.0,0.0425531914893617,0.6666666666666666,0.4025974025974026,0.6103896103896104,0.08,0.02323578283018222,0.048430395653761484
5,5.0,36.0,36.0,0.0,0.12195121951219512,1.0,0.5324675324675324,0.5324675324675324,0.21739130434782608,0.2469323991623974,0.11738713988713989
6,3.0,28.0,25.0,0.0,0.0967741935483871,1.0,0.5,0.5535714285714286,0.17647058823529413,0.21365440436358007,0.1
7,3.0,23.0,35.0,7.0,0.11538461538461539,0.3,0.5588235294117647,0.38235294117647056,0.16666666666666666,-0.07036597521964609,0.14496831141567984
8,0.0,24.0,43.0,1.0,0.0,0.0,0.6323529411764706,0.35294117647058826,0.0,-0.09022811434760541,0.010869565217391304
9,0.0,35.0,27.0,1.0,0.0,0.0,0.42857142857142855,0.5555555555555556,0.0,-0.1419904585617662,0.01
10,29.0,315.0,340.0,10.0,0.08430232558139535,0.7435897435897436,0.531700288184438,0.4938591771287178,0.1514360313315927,0.12099190737200419,0.20403898098560833
