,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,1.0,1013.0,23.0,0.0,0.0009861932938856016,1.0,0.023143683702989394,0.9778206364513018,0.0019704433497536944,0.00467912947710185,0.0017857142857142857
1,2.0,972.0,87.0,0.0,0.002053388090349076,1.0,0.08388312912346843,0.9180018850141376,0.004098360655737705,0.012988146112273946,0.001165962381193168
2,2.0,997.0,33.0,0.0,0.002002002002002002,1.0,0.03391472868217054,0.9680232558139535,0.003996003996003996,0.008008858327791,0.001174760012926583
3,5.0,1048.0,75.0,0.0,0.004748338081671415,1.0,0.07092198581560284,0.9335106382978723,0.00945179584120983,0.01780785333387936,0.005196941006740154
4,4.0,1046.0,66.0,0.0,0.0038095238095238095,1.0,0.06272401433691756,0.9408602150537635,0.007590132827324478,0.015036782582101038,0.0028480636367469903
5,4.0,1020.0,35.0,0.0,0.00390625,1.0,0.036827195467422094,0.9669499527856469,0.007782101167315175,0.011383814484938174,0.0108933025805567
6,5.0,997.0,84.0,0.0,0.00499001996007984,1.0,0.08195211786372007,0.9226519337016574,0.009930486593843098,0.019691460901127552,0.0038484714973174585
7,3.0,1029.0,91.0,0.0,0.0029069767441860465,1.0,0.08370436331255565,0.918967052537845,0.005797101449275362,0.015368534753356167,0.1694048266041718
8,3.0,982.0,47.0,0.0,0.003045685279187817,1.0,0.04844961240310078,0.9544573643410853,0.006072874493927126,0.011794614578823694,0.00210951298578983
9,1.0,952.0,102.0,0.0,0.001049317943336831,1.0,0.0976303317535545,0.9033175355450237,0.0020964360587002098,0.010077048066883176,0.0017857142857142857
10,30.0,10056.0,643.0,0.0,0.00297441998810232,1.0,0.06272718799515332,0.9404560469542286,0.005931198102016607,0.013370111779423502,0.02002132692768712
