,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,623.0,394.0,2.0,0.004792332268370607,0.6,0.388454011741683,0.6125244618395304,0.009508716323296355,-0.001802601531819517,0.10397492438186372
1,1.0,559.0,459.0,2.0,0.0017857142857142857,0.3333333333333333,0.4505386875612145,0.5484818805093046,0.003552397868561279,-0.023469639676528164,0.002271839543796203
2,0.0,697.0,333.0,0.0,0.0,0.0,0.3233009708737864,0.6766990291262136,0.0,0.0,0.5
3,0.0,695.0,315.0,2.0,0.0,0.0,0.31126482213438733,0.6867588932806324,0.0,-0.06588963202267263,0.0010912756550502682
4,2.0,719.0,256.0,0.0,0.0027739251040221915,1.0,0.2640736949846469,0.7379733879222109,0.005532503457814661,0.026987648202791245,0.0026311927639161453
5,0.0,709.0,290.0,0.0,0.0,0.0,0.2902902902902903,0.7097097097097097,0.0,0.0,0.5
6,3.0,774.0,280.0,1.0,0.003861003861003861,0.75,0.2674858223062382,0.7344045368620038,0.0076824583866837385,0.002175354122101921,0.002825312951286896
7,1.0,614.0,418.0,0.0,0.0016260162601626016,1.0,0.40561471442400776,0.5953533397870281,0.003246753246753247,0.02566319561652263,0.5015479876160991
8,1.0,671.0,357.0,1.0,0.001488095238095238,0.5,0.34757281553398056,0.6524271844660194,0.002967359050445104,-0.014118610040208554,0.0012719667325623136
9,1.0,535.0,383.0,0.0,0.0018656716417910447,1.0,0.4178454842219804,0.5832426550598476,0.0037243947858473,0.02789945062370481,0.5017421602787456
10,12.0,6596.0,3485.0,8.0,0.0018159806295399517,0.6,0.3462033462033462,0.6537575078562501,0.0036210018105009055,-0.005074972269804123,0.211735665992332
