,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,71.0,84.0,5.0,0.04054054054054054,0.375,0.5337423312883436,0.4539877300613497,0.07317073170731707,-0.036042550774552796,0.03998328305696144
1,3.0,88.0,65.0,6.0,0.03296703296703297,0.3333333333333333,0.41975308641975306,0.5617283950617284,0.06,-0.11164194469096053,0.0983929288439303
2,17.0,100.0,51.0,6.0,0.1452991452991453,0.7391304347826086,0.39080459770114945,0.6724137931034483,0.24285714285714285,0.05547898551573027,0.19355210684129018
3,14.0,101.0,45.0,8.0,0.12173913043478261,0.6363636363636364,0.35119047619047616,0.6845238095238095,0.20437956204379562,-0.04022956893067898,0.11924585340156062
4,12.0,121.0,41.0,6.0,0.09022556390977443,0.6666666666666666,0.29444444444444445,0.7388888888888889,0.15894039735099338,-0.05480842827736267,0.06787603594785106
5,7.0,103.0,39.0,3.0,0.06363636363636363,0.7,0.3026315789473684,0.7236842105263158,0.11666666666666667,-0.014055210064004599,0.04800604881911147
6,3.0,90.0,63.0,10.0,0.03225806451612903,0.23076923076923078,0.39759036144578314,0.5602409638554217,0.05660377358490566,-0.19348589237855254,0.04902617213803941
7,3.0,96.0,57.0,7.0,0.030303030303030304,0.3,0.36809815950920244,0.6073619631901841,0.05504587155963303,-0.16091051550104377,0.09425099943698871
8,3.0,59.0,62.0,12.0,0.04838709677419355,0.2,0.47794117647058826,0.45588235294117646,0.07792207792207792,-0.18089246784069923,0.14330669440526958
9,6.0,91.0,73.0,5.0,0.061855670103092786,0.5454545454545454,0.4514285714285714,0.5542857142857143,0.1111111111111111,-0.004601479444380675,0.14539297908406962
10,71.0,920.0,580.0,68.0,0.07164480322906155,0.5107913669064749,0.3971934106162294,0.6012997821438038,0.1256637168141593,-0.05842925394383216,0.09990331019750724
