,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,4.0,21.0,0.0,0.0,0.16,1.0,0.16,1.0,0.27586206896551724,0.0,0.08333333333333333
1,4.0,24.0,0.0,0.0,0.14285714285714285,1.0,0.14285714285714285,1.0,0.25,0.0,0.08333333333333333
2,0.0,15.0,3.0,2.0,0.0,0.0,0.15,0.75,0.0,-0.5773502691896257,0.05263157894736842
3,5.0,26.0,0.0,0.0,0.16129032258064516,1.0,0.16129032258064516,1.0,0.2777777777777778,0.0,0.08333333333333333
4,0.0,19.0,3.0,0.0,0.0,0.0,0.13636363636363635,0.8636363636363636,0.0,0.0,0.5
5,6.0,17.0,0.0,0.0,0.2608695652173913,1.0,0.2608695652173913,1.0,0.41379310344827586,0.0,0.13636363636363635
6,5.0,20.0,0.0,0.0,0.2,1.0,0.2,1.0,0.3333333333333333,0.0,0.1388888888888889
7,6.0,16.0,0.0,0.0,0.2727272727272727,1.0,0.2727272727272727,1.0,0.42857142857142855,0.0,0.16698983886483887
8,8.0,20.0,0.0,0.0,0.2857142857142857,1.0,0.2857142857142857,1.0,0.4444444444444444,0.0,0.16
9,2.0,17.0,7.0,3.0,0.10526315789473684,0.4,0.3103448275862069,0.6551724137931034,0.16666666666666666,-0.24503848605703313,0.13972222222222225
10,40.0,195.0,13.0,5.0,0.1702127659574468,0.8888888888888888,0.20948616600790515,0.9268808777429467,0.2857142857142857,-0.0723108203608982,0.15445961652869547
