,tp,fp,tn,fn,precision,recall,accuracy,inspection_rate,f1_score,mcc,auc_pr
0,3.0,222.0,37.0,0.0,0.013333333333333334,1.0,0.15267175572519084,0.8587786259541985,0.02631578947368421,0.04364357804719848,0.012479082225472785
1,1.0,220.0,47.0,0.0,0.004524886877828055,1.0,0.1791044776119403,0.8246268656716418,0.009009009009009009,0.028222609157068625,0.006329113924050633
2,3.0,189.0,54.0,0.0,0.015625,1.0,0.23170731707317074,0.7804878048780488,0.03076923076923077,0.05892556509887896,0.02905870846761928
3,1.0,248.0,21.0,0.0,0.004016064257028112,1.0,0.08148148148148149,0.9222222222222223,0.008,0.0177065452579676,0.5064102564102564
4,3.0,264.0,21.0,0.0,0.011235955056179775,1.0,0.08333333333333333,0.9270833333333334,0.022222222222222223,0.02877346829674471,0.01536259577320313
5,4.0,281.0,5.0,0.0,0.014035087719298246,1.0,0.03103448275862069,0.9827586206896551,0.02768166089965398,0.015664248032423965,0.3963468822843823
6,2.0,252.0,25.0,0.0,0.007874015748031496,1.0,0.0967741935483871,0.910394265232975,0.015625,0.026658042703789537,0.26212165736115195
7,1.0,230.0,12.0,0.0,0.004329004329004329,1.0,0.053497942386831275,0.9506172839506173,0.008620689655172414,0.014651326618643278,0.0045871559633027525
8,3.0,241.0,45.0,0.0,0.012295081967213115,1.0,0.16608996539792387,0.8442906574394463,0.024291497975708502,0.04398341584014478,0.18107553638913207
9,4.0,228.0,44.0,0.0,0.017241379310344827,1.0,0.17391304347826086,0.8405797101449275,0.03389830508474576,0.0528114254034486,0.270561241628113
10,25.0,2375.0,311.0,0.0,0.010416666666666666,1.0,0.12393950571744744,0.8841839389517065,0.020618556701030924,0.034728943669783026,0.16843322304266845
